	január	február	március	április	május	június	július	augusztus	szeptember	október	november	december
Nyomo Réka	2501	2374	1392	2577	542	3679	1686	3334	3031	1669	3343	749
Para Zita	4387	2462	3575	1715	1784	4442	2400	4997	4542	839	1222	2952
Patta Nóra	1484	2036	1346	1542	1904	1950	2652	3448	4501	1171	2157	1407
Pár Zoltán	1830	1275	307	2956	3686	1125	4171	2049	796	3935	2969	305
Pop Simon	4844	1952	1166	4100	2054	3984	388	4515	4930	3570	4357	567
Remek Elek	1701	1491	4460	3091	503	1793	3000	451	4424	2725	2524	4052
Beviz Elek	1103	4474	4881	3526	3471	4040	3953	2205	4703	2150	3306	975
Heu Réka	2028	3277	414	3281	2118	931	492	3642	1971	2764	2391	1279
Hü Jenõ	902	4734	3980	1249	3007	2925	1439	3008	423	3286	2408	3802
Trab Antal	3261	3871	4902	1185	4139	1007	684	1891	4304	2255	380	1965
Ultra Viola	1798	4935	2955	786	4376	1925	2328	929	4062	1628	2741	3630
Am Erika	2859	4690	2335	4412	1473	333	1777	1712	4491	926	926	4608
Bac Ilus	924	3783	354	4964	3917	4074	4335	2479	4320	2018	4876	742
Citad Ella	652	1846	1101	3290	3125	651	4814	4685	3806	2632	4755	3127
Dil Emma	3034	1286	934	2814	4451	4129	4051	3576	1338	2167	3975	3740
Eszte Lenke	4110	1385	2910	435	3001	2818	3394	1804	2157	2043	807	3017
Feles Elek	4656	3543	753	1191	4281	1064	4979	3557	3986	4868	1426	4943
Füty Imre	880	516	3052	3798	3508	3253	2723	2811	2021	2812	4185	2099
Git Áron	3664	588	1449	4459	4237	4890	4147	1291	4244	1605	4780	2845
Har Mónika	594	1631	323	3840	4025	745	1667	938	2632	3581	3569	1454
Szalmon Ella	2231	1161	1202	4265	2446	938	3156	2149	4514	4577	1619	4234
Techno Kolos	4291	317	4135	4750	333	4981	1178	798	787	1628	2233	2812
Kukor Ica	1970	1083	355	3080	4569	631	3310	3282	2504	3501	2568	621
Kala Pál	366	2004	859	1333	1386	610	3930	4863	2314	689	2300	1028
Zsíros B. Ödön	1450	3424	2957	2439	4344	751	2861	1607	1517	1508	1569	4283
Külö Nóra	950	1008	1972	2635	4566	3483	3050	3152	2176	468	1861	3925
Körm Ödön	1947	464	2693	4804	3425	2490	1592	2152	4770	3704	1566	1540
Kér Ede	3641	1641	4297	2912	2256	4840	1556	991	4244	4331	3805	1429
Major Anna	2910	4425	937	4814	3920	432	4640	3212	4239	437	2192	4225
Meg Gyõzõ	2009	4541	687	2803	4724	1289	1091	2406	919	1605	1728	3093
Vak Cina	2838	4037	1484	4603	1043	601	1787	1875	1376	3621	3609	3231
Veg Eta	2142	497	3288	4344	3465	1339	2133	1888	2121	1391	3199	2633
Virra Dóra	4965	4258	624	3014	4674	998	542	3070	1094	1304	301	4790
Vég Béla	3746	2019	4713	1999	1161	3691	2039	681	749	4361	1183	3114
Wincs Eszter	473	436	3121	2198	4942	985	893	4608	451	1528	3581	3680
Kasza Blanka	456	4649	465	1803	3150	3587	2753	3496	3110	3127	1549	4750
Kandisz Nóra	3306	2923	3370	2878	3889	3138	4735	1674	2822	1994	4182	4132
Kispál Inka	612	4491	3013	3370	3163	2633	507	1482	832	672	825	3032
Pofá Zoltán	3139	1119	538	335	3786	1107	1752	4025	2303	1265	3662	3660
Budipa Piroska	2268	4279	4403	789	315	2264	4123	1114	3163	1790	3872	901
Tank Aranka	911	2258	4670	4020	777	1160	3770	2720	1860	2053	2123	1043
Bekre Pál	881	2210	4522	4568	1116	2086	1415	1153	4271	4643	3933	1184
Cicz Imre	2241	3270	3553	341	2339	2899	4982	2960	2538	560	816	3380
Mortad Ella	3243	2190	392	1206	324	3106	4351	2712	2238	1511	1489	2311
Trap Pista	4407	1950	4206	4412	2329	3779	2502	3453	3901	2296	2734	1040
